hostname,ip address,mac address,vlan,profile,OS,VLAN Description,model,vendor,last activity,Status,risk score
Carefusion Infusion Pump Base Station,10.20.110.142,f8:c6:78:00:00:08,110,Carefusion Infusion Pump Base Station,Enea Ose 4 (Version 4.5.2),Clinical and IT,Alaris 8015,CareFusion,2026-05-22T14:53:08.501Z,Active,20
Carefusion Infusion Pump Base Station,10.20.110.109,00:1a:2b:3c:4d:60,110,Carefusion Infusion Pump Base Station,Enea Ose 4 (Version 4.5.2),Clinical and IT,Alaris 8015,CareFusion,2026-05-22T14:53:08.501Z,Active,20
Carefusion Infusion Pump Base Station,10.20.110.122,f8:c6:78:00:00:02,110,Carefusion Infusion Pump Base Station,Enea Ose 4 (Version 4.5.2),Clinical and IT,Alaris 8015,CareFusion,2026-05-22T14:53:08.501Z,Active,20
Carefusion Infusion Pump Base Station,10.20.110.136,f8:c6:78:00:00:05,110,Carefusion Infusion Pump Base Station,Enea Ose 4 (Version 4.5.2),Clinical and IT,Alaris 8015,CareFusion,2026-05-22T14:53:08.501Z,Active,20
Carefusion Infusion Pump Base Station,10.20.110.139,f8:c6:78:00:00:06,110,Carefusion Infusion Pump Base Station,Enea Ose 4 (Version 4.5.2),Clinical and IT,Alaris 8015,CareFusion,2026-05-22T14:53:08.501Z,Active,20
Yokogawa Stardom RTU,10.30.9.102,00:00:64:d3:6a:91,,Yokogawa Stardom RTU,Embedded,Summary address for the HOU Industrial OT,FCN-RTU,Yokogawa,2026-05-22T14:53:08.501Z,Active,89
Yokogawa PLC,10.30.9.104,00:00:64:05:c8:e2,,Yokogawa PLC,ProConOS,Summary address for the HOU Industrial OT,,Yokogawa,2026-05-22T14:53:08.501Z,Active,20
PRM0780,10.30.7.80,00:15:5d:bf:e4:61,,Yokogawa PRM Server,Windows 10 (Version 1809),Summary address for the HOU Industrial OT,,Microsoft Corporation,2026-05-22T14:53:08.501Z,Active,20
his63,192.168.2.100,00:15:5d:00:5e:8b,100,Control System Engineering Workstation,Windows,POR Guest,,Microsoft Corporation,2026-05-22T14:53:08.501Z,Active,20
Yokogawa Centum Controller,10.30.9.112,00:00:64:78:3c:a5,,Yokogawa Centum Controller,Embedded,Summary address for the HOU Industrial OT,Centum VP 3000 CP401,Yokogawa,2026-05-22T14:53:08.501Z,Active,100
STN0722,10.30.7.22,00:15:5d:7e:29:b4,,Yokogawa Engineering Station,,Summary address for the HOU Industrial OT,,Microsoft Corporation,2026-05-22T14:53:08.501Z,Active,20
his63,192.168.1.100,00:15:5d:00:5e:8a,100,Control System Engineering Workstation,Windows,SJC Guest,,Microsoft Corporation,2026-05-22T14:53:08.501Z,Active,20
HIS0770,10.30.7.70,00:15:5d:92:5d:08,,Yokogawa Human Interface Station,Windows 10 (Version 1809),Summary address for the HOU Industrial OT,,Yokogawa,2026-05-22T14:53:08.501Z,Active,20
STN0760,10.30.7.60,00:50:56:4b:17:f3,,Yokogawa Engineering Station,Windows 10 (Version 1607),Summary address for the HOU Industrial OT,,"VMware, Inc.",2026-05-22T14:53:08.501Z,Active,20
STN10720,10.30.7.20,00:15:5d:3a:f1:c7,,Yokogawa Engineering Station,Windows,Summary address for the HOU Industrial OT,,Microsoft Corporation,2026-05-22T14:53:08.501Z,Active,20
his63,10.30.20.100,00:15:5d:00:5e:88,20,Control System Engineering Workstation,,Manufacturing Assembly,,,2026-05-22T14:53:08.501Z,Active,20
5G Industrial Camera,10.30.140.25,356938035643809,,Horizon CC1005G 5G Camera,,Summary address for the HOU Industrial OT site,Horizon CC1005G,Horizon,2026-05-22T14:53:08.501Z,Active,30
ABB Industrial PLC,10.30.152.20,70:b3:d5:c4:70:11,,ABB AC500 PLC,,HOU Industrial OT DCS Controllers,ABB AC500,ABB,2026-05-22T14:53:08.501Z,Active,20
Emerson Rosemount Wireless Sensor,10.30.154.23,00:26:16:0c:8a:45,,Rosemount WirelessHART sensors,,HOU Industrial OT Wireless Sensors,Rosemount 3051S Wireless,Emerson Electric,2026-05-22T14:53:08.501Z,Active,25
ABB Industrial Controller,10.30.152.14,70:b3:d5:08:12:34,,ABB AC800M Controller,,HOU Industrial OT DCS Controllers,ABB AC800M,ABB,2026-05-22T14:53:08.501Z,Active,20
Emerson Industrial Gateway,10.30.154.10,00:26:16:6c:8b:23,,Emerson Wireless 1410S Gateway,,HOU Industrial OT Wireless Sensors,Emerson 1410S Gateway,Emerson Electric,2026-05-22T14:53:08.501Z,Active,25
